product_id,product_name,category,price,rating
P073,Hisense 55 ULED,Television,37999,4.4
P074,Nokia 50 UHD,Television,34999,4.3
P075,Acer 43 Boundless,Television,23999,4.2
P076,Infinix X3 43,Television,20999,4.1
P077,Kodak 42 Full HD,Television,16999,4.0
P078,Toshiba 55 Fire TV,Television,29999,4.3
P079,Redmi TV 65 Max,Television,67999,4.5
P080,LG NanoCell 50,Television,79999,4.6
P081,Nike Air Max Shoes,Fashion,7999,4.6
P082,Nike Sports T-shirt,Fashion,1999,4.4
P083,Adidas Ultraboost,Fashion,9299,4.7
P084,Adidas Hoodie,Fashion,3599,4.4
P085,Levi’s Regular Fit Jeans,Fashion,2999,4.5
P086,Levi’s Denim Jacket,Fashion,3699,4.6
P087,Zara Floral Dress,Fashion,3499,4.5
P088,Zara Sweatshirt,Fashion,2599,4.4
P089,Puma Running Shoes,Fashion,3999,4.4
P090,Puma Track Pants,Fashion,2499,4.3
P091,H&M Women Top,Fashion,999,4.3
P092,H&M Men Shirt,Fashion,1999,4.4
P093,Woodland Boots Brown,Fashion,4999,4.4
P094,US Polo T-Shirt,Fashion,1499,4.2
P095,Only Women Jeans,Fashion,2999,4.4
P096,Allen Solly Shirt,Fashion,2499,4.3
P097,Van Heusen Blazer,Fashion,4599,4.5
P098,Tommy Hilfiger Polo,Fashion,2799,4.4
P099,Biba Ethnic Suit,Fashion,3599,4.6
P100,W Kurti Women,Fashion,1599,4.3
P101,Libas Kurta Set,Fashion,2299,4.4
P102,Crocs Unisex Clog,Fashion,2899,4.5
P103,Campus Running Shoes,Fashion,1999,4.1
P104,Ray-Ban Aviator Sunglasses,Fashion,5499,4.6
P105,Wildcraft Backpack,Fashion,1799,4.3
P106,Jockey Boxer Pack,Fashion,899,4.2
P107,Casio Wrist Watch,Fashion,2499,4.5
P108,Titan Analog Watch,Fashion,3499,4.6
P109,Fossil Chronograph Watch,Fashion,8499,4.7
P110,Zara Winter Coat,Fashion,5599,4.5
P111,Ikea 3-Seater Sofa,Furniture,32999,4.5
P112,Ikea Dining Table,Furniture,25999,4.4
P113,Nilkamal Plastic Chair,Furniture,999,4.2
P114,Godrej Single Bed,Furniture,22999,4.4
P115,Godrej Almirah,Furniture,18999,4.3
P116,Prestige Pressure Cooker 5L,Kitchen,1899,4.4
P117,Prestige Gas Stove 3 Burner,Kitchen,4999,4.5
P118,Milton Thermosteel Bottle,Kitchen,749,4.3
P119,Cello Icebox Cooler,Kitchen,2299,4.2
P120,Bajaj Room Heater,Home Appliance,2899,4.1
P121,Whirlpool Refrigerator 265L,Home Appliance,27999,4.5
P122,LG Washing Machine 7kg,Home Appliance,29999,4.6
P123,Havells Ceiling Fan,Home Appliance,1999,4.3
P124,Philips LED Bulb 12W,Home Appliance,199,4.1
P125,Kent RO Water Purifier,Home Appliance,16999,4.5
P126,Prestige Mixer Grinder,Kitchen,2999,4.4
P127,Tefal Nonstick Fry Pan,Kitchen,1299,4.2
P128,Hawkins Contura Cooker,Kitchen,2199,4.4
P129,Borosil Glass Set,Kitchen,899,4.2
P130,Symphony Air Cooler,Home Appliance,8499,4.3
P131,Ikea Bookshelf Wooden,Furniture,3999,4.5
P132,Nilkamal Center Table,Furniture,2999,4.2
P133,Godrej Mattress 6 inch,Furniture,15999,4.4
P134,Faber Chimney,Home Appliance,9999,4.5
P135,Kutchina Air Fryer,Kitchen,4999,4.3
P136,Tata Tea Gold 1Kg,Grocery,549,4.6
P137,Aashirvaad Atta 10Kg,Grocery,449,4.5
P138,Amul Butter 500gm,Grocery,245,4.7
P139,Colgate Toothpaste 4 Pack,Grocery,149,4.3
P140,Nivea Soft Cream 200ml,Beauty,199,4.4
P141,Lakme Kajal Black,Beauty,149,4.5
P142,Dove Shampoo 650ml,Beauty,399,4.4
P143,Surf Excel Matic 2Kg,Grocery,399,4.5
P144,Maggi Noodles 12 Pack,Grocery,149,4.4
P145,Keratin Hair Serum,Beauty,349,4.3
P146,Harpic Toilet Cleaner 1L,Grocery,149,4.5
P147,Wild Stone Perfume,Beauty,499,4.6
P148,Sugar Cosmetics Lipstick,Beauty,599,4.5
P149,Clinic Plus Shampoo 650ml,Beauty,349,4.3
P150,Parachute Coconut Oil 1L,Beauty,299,4.4
